"media_open; media_play; media_pause; media_play; media_end","2022/11/09 10:47:03:832; 2022/11/09 10:47:08:916; 2022/11/09 10:47:12:229; 2022/11/09 10:47:20:955; 2022/11/09 10:52:17:931"
"Multimedia File","v7.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,0
4,0
5,13.6938842105263
6,52.0270947368421
7,51.6563342105263
8,49.0126605263158
9,49.15775
10,49.15775
11,49.15775
12,49.15775
13,44.6888636363636
14,50.3318111111111
15,50.9188425
16,46.6054111111111
17,45.8208921052631
18,45.78865
19,45.78865
20,45.78865
21,45.78865
22,44.8214605263158
23,39.9854710526316
24,39.96935
25,39.96935
26,39.96935
27,39.96935
28,39.96935
29,39.96935
30,39.96935
31,39.96935
32,39.96935
33,39.96935
34,39.96935
35,40.2111526315789
36,53.3972684210526
37,56.1215421052632
38,55.89585
39,55.89585
40,55.89585
41,55.4928578947369
42,55.5896
43,55.5896
44,55.5896
45,55.5896
46,55.5896
47,55.5896
48,55.5896
49,55.5896
50,55.5896
51,55.5896
52,55.5896
53,55.5896
54,55.5896
55,55.5896
56,55.5896
57,55.5896
58,55.5896
59,55.5896
60,55.5896
61,55.5896
62,55.5896
63,55.5896
64,55.5896
65,55.5896
66,55.5896
67,55.5896
68,55.1704789473684
69,56.692195
70,59.26495
71,59.2004657894737
72,58.65235
73,58.65235
74,58.65235
75,58.65235
76,58.65235
77,60.7793
78,69.7590078947369
79,72.2737263157895
80,78.0091825
81,95.7121
82,89.9089289473684
83,93.1490368421053
84,92.9556
85,92.9556
86,92.9556
87,92.9556
88,92.9556
89,92.9556
90,92.9556
91,92.9556
92,92.9556
93,92.9556
94,92.9556
95,81.74579
96,66.6639789473684
97,53.9131131578947
98,21.8827894736842
99,24.1718315789474
100,-24.0590052631579
101,-64.3588447368421
102,-86.330297368421
103,-71.0808447368421
104,7.42726
105,42.7258842105263
106,45.4823815789473
107,45.78865
108,45.78865
109,50.4312105263158
110,53.7841684210526
111,53.44565
112,53.44565
113,53.44565
114,53.44565
115,53.44565
116,55.7024289473684
117,59.2649263157894
118,-39.6953421052632
119,-74.8851447368421
120,-75.7556342105263
121,-83.6866342105263
122,-60.9252868421053
123,43.093415
124,22.5276
125,37.2128763157895
126,-27.7012138888889
127,-51.6563131578947
128,-51.4951131578947
129,-18.7902
130,52.4623078947369
131,62.1826315789473
132,61.4089
133,61.4089
134,61.4089
135,61.4089
136,55.3800315789474
137,59.8775
138,65.6645421052632
139,66.9219
140,66.9219
141,66.9219
142,66.9219
143,70.3070684210526
144,70.9035
145,70.9035
146,72.9829789473684
147,82.7194184210526
148,83.15465
149,83.15465
150,83.15465
151,83.15465
152,83.15465
153,83.15465
154,83.15465
155,83.2397333333333
156,83.15465
157,83.15465
158,83.15465
159,83.15465
160,83.15465
161,83.15465
162,83.15465
163,83.15465
164,83.15465
165,83.15465
166,83.15465
167,83.15465
168,83.15465
169,83.15465
170,83.15465
171,83.15465
172,83.15465
173,83.15465
174,83.15465
175,83.15465
176,83.15465
177,83.15465
178,83.15465
179,83.15465
180,83.15465
181,82.1391026315789
182,81.7361263157895
183,84.637702631579
184,85.6049
185,85.6049
186,85.6049
187,85.6049
188,85.6049
189,85.6049
190,85.6049
191,85.6049
192,85.6049
193,85.6049
194,85.6049
195,85.6049
196,85.6049
197,85.6049
198,85.6049
199,85.6049
200,85.6049
201,85.6049
202,85.6049
203,85.6049
204,85.6049
205,85.6049
206,85.6049
207,86.4592552631579
208,93.1973894736842
209,93.56815
210,93.56815
211,98.9199657894737
212,97.0661763157895
213,99.9677605263158
214,100
215,100
216,100
217,100
218,100
219,100
220,94.1323447368421
221,80.07657
222,73.3367472222222
223,72.4349
224,72.4349
225,72.4349
226,72.4349
227,72.4349
228,72.4349
229,72.4349
230,72.4349
231,72.4349
232,46.6268921052632
233,-11.4048552631579
234,-62.1826368421053
235,-75.1591894736842
236,-76.9162447368421
237,-44.5635447368421
238,44.3378710526316
239,6.29482894736842
240,-2.92575263157895
241,-2.60335000000001
242,-2.60335000000001
243,-34.8271131578947
244,-76.4810289473684
245,-76.41655
246,-76.41655
247,-76.41655
248,-76.41655
249,-76.41655
250,-76.41655
251,-77.0129842105263
252,-77.64165
253,-77.64165
254,-77.64165
255,-80.7384777777778
256,-81.317
257,-81.317
258,-81.317
259,-81.317
260,-81.317
261,-81.317
262,-81.317
263,-81.317
264,-81.317
265,-81.317
266,-85.5028138888889
267,-95.7120973684211
268,-100
269,-100
270,-100
271,-100
272,-69.4366078947368
273,-10.1313842105263
274,-21.1412842105263
275,-14.8545
276,-14.8545
277,-15.6282684210526
278,-40.4368447368421
279,-93.5036657894737
280,-98.25905
281,-97.5498
282,-80.6883447368421
283,-19.0295842105263
284,-23.8655815789474
285,-2.52275789473684
286,-1.99079999999999
287,-1.99079999999999
288,-1.99079999999999
289,-6.40766578947368
290,-78.1252552631579
291,-95.2285105263158
292,-96.0184
293,-96.0184
294,-96.0184
295,-96.0184
296,-96.0184
297,-96.0184
298,-96.0184
299,-97.7432210526316
300,-100
