"media_open; media_play; media_pause; media_play; media_pause; media_play; media_pause; media_play; media_pause; media_play; media_end","2022/09/14 09:53:23:695; 2022/09/14 09:53:28:960; 2022/09/14 09:54:49:076; 2022/09/14 09:56:38:503; 2022/09/14 09:56:51:188; 2022/09/14 09:58:14:068; 2022/09/14 09:59:03:240; 2022/09/14 09:59:12:975; 2022/09/14 09:59:15:988; 2022/09/14 10:00:56:169; 2022/09/14 10:07:23:371"
"Multimedia File","17.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,0
4,0
5,0
6,1.294025
7,10.98009
8,18.0091975
9,17.0750425
10,15.46705
11,15.46705
12,15.46705
13,15.46705
14,15.46705
15,15.46705
16,15.46705
17,15.46705
18,15.46705
19,15.46705
20,15.4831710526316
21,21.0107175
22,33.27718
23,44.349155
24,50.5359775
25,60.03063
26,60.49005
27,60.49005
28,60.49005
29,60.49005
30,60.49005
31,60.49005
32,60.49005
33,60.49005
34,60.49005
35,60.49005
36,60.49005
37,60.49005
38,60.49005
39,60.49005
40,60.49005
41,60.49005
42,60.49005
43,60.49005
44,60.49005
45,60.49005
46,60.49005
47,60.49005
48,60.49005
49,60.49005
50,60.49005
51,60.49005
52,60.49005
53,60.49005
54,60.49005
55,60.49005
56,60.49005
57,60.49005
58,60.49005
59,68.0551225
60,82.00613
61,82.23585
62,82.23585
63,82.23585
64,82.23585
65,82.23585
66,82.23585
67,82.23585
68,82.23585
69,82.23585
70,82.23585
71,82.23585
72,82.23585
73,82.23585
74,82.23585
75,82.23585
76,82.23585
77,82.23585
78,82.23585
79,82.23585
80,82.23585
81,82.23585
82,82.23585
83,82.23585
84,82.23585
85,82.23585
86,82.23585
87,82.23585
88,82.23585
89,82.23585
90,82.23585
91,82.23585
92,82.23585
93,82.23585
94,82.23585
95,82.23585
96,82.23585
97,82.23585
98,82.23585
99,82.23585
100,82.23585
101,82.23585
102,82.23585
103,82.23585
104,82.23585
105,82.23585
106,87.9261842105263
107,90.1991
108,90.1991
109,90.1991
110,90.1991
111,90.1991
112,90.1991
113,90.1991
114,90.1991
115,90.1991
116,90.1991
117,90.1991
118,90.1991
119,90.1991
120,90.1991
121,90.1991
122,90.1991
123,90.1991
124,90.1991
125,90.1991
126,90.1991
127,90.1991
128,90.1991
129,90.1991
130,90.1991
131,90.1991
132,90.1991
133,90.1991
134,90.1991
135,90.1991
136,90.1991
137,90.1991
138,90.1991
139,90.1991
140,90.1991
141,90.1991
142,90.1991
143,90.1991
144,90.1991
145,90.1991
146,90.1991
147,90.1991
148,90.1991
149,90.1991
150,90.1991
151,90.1991
152,90.1991
153,90.1991
154,90.1991
155,90.1991
156,90.1991
157,90.1991
158,90.1991
159,90.1991
160,90.1991
161,90.1991
162,87.5650975
163,79.1117775
164,80.7197625
165,80.70445
166,80.70445
167,80.70445
168,80.70445
169,80.70445
170,80.70445
171,80.70445
172,80.70445
173,80.70445
174,80.70445
175,80.70445
176,80.8436681818181
177,80.70445
178,80.70445
179,80.70445
180,80.70445
181,80.70445
182,80.70445
183,80.70445
184,80.70445
185,80.70445
186,80.70445
187,80.70445
188,80.70445
189,80.70445
190,80.78102
191,80.70445
192,80.70445
193,80.70445
194,80.70445
195,80.70445
196,80.70445
197,80.70445
198,80.70445
199,80.70445
200,80.70445
201,80.70445
202,80.70445
203,80.70445
204,80.70445
205,80.70445
206,80.70445
207,80.70445
208,80.70445
209,80.70445
210,80.70445
211,80.70445
212,80.70445
213,80.70445
214,80.70445
215,80.70445
216,80.70445
217,80.70445
218,80.70445
219,80.70445
220,80.70445
221,80.70445
222,80.70445
223,80.70445
224,80.70445
225,80.70445
226,80.70445
227,80.70445
228,80.70445
229,80.70445
230,75.1607975
231,68.75955
232,68.75955
233,68.75955
234,68.75955
235,68.75955
236,68.75955
237,68.75955
238,68.75955
239,68.75955
240,68.75955
241,68.75955
242,68.75955
243,68.75955
244,68.75955
245,68.75955
246,71.5560130434782
247,68.75955
248,68.75955
249,68.75955
250,68.75955
251,68.75955
252,68.75955
253,68.75955
254,68.75955
255,68.75955
256,68.75955
257,68.75955
258,68.75955
259,68.75955
260,68.75955
261,68.75955
262,68.75955
263,68.75955
264,68.75955
265,68.75955
266,68.75955
267,68.75955
268,68.75955
269,68.75955
270,72.5267875
271,75.2205928571429
272,75.804
273,78.7055868421053
274,79.7856
275,79.7856
276,79.7856
277,79.8876928571428
278,85.9756552631579
279,86.83
280,86.83
281,86.83
282,86.83
283,86.83
284,86.83
285,86.83
286,86.83
287,86.83
288,86.83
289,86.83
290,86.83
291,86.83
292,86.83
293,86.83
294,86.83
295,86.83
296,86.83
297,86.83
298,86.83
299,86.83
300,86.83
301,86.83
302,86.83
303,86.83
304,86.83
305,86.83
306,86.83
307,86.83
308,86.83
309,87.394197368421
310,89.3261875
311,90.4287875
