"media_open; media_play; media_pause; media_play; media_pause; media_play; media_end","2022/09/13 14:53:22:808; 2022/09/13 14:53:28:406; 2022/09/13 14:55:17:131; 2022/09/13 14:59:25:591; 2022/09/13 15:00:19:324; 2022/09/13 15:00:25:174; 2022/09/13 15:01:11:899"
"Multimedia File","6.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,10.88055
26,75.911185
27,77.2064236842105
28,84.9004425
29,85.2986
30,85.2986
31,85.2986
32,85.2986
33,85.2986
34,85.2986
35,85.2986
36,85.2986
37,85.2986
38,85.2986
39,85.2986
40,85.2986
41,85.2986
42,85.2986
43,85.2986
44,85.2986
45,85.2986
46,85.2986
47,85.2986
48,85.2986
49,85.2986
50,90.3303357142857
51,92.03675
52,92.03675
53,92.03675
54,94.9682785714286
55,95.7121
56,96.4858394736842
57,97.54975
58,97.54975
59,97.54975
60,97.54975
61,97.54975
62,97.54975
63,87.4885025
64,42.297075
65,31.39355
66,31.39355
67,29.80091
68,26.4931
69,26.4931
70,19.9999975
71,15.1608
72,15.1608
73,14.2266475
74,12.848385
75,12.71055
76,12.71055
77,12.71055
78,12.71055
79,-0.878542105263158
80,-17.97856
81,-20.06125
82,-20.06125
83,-20.06125
84,-20.06125
85,-20.06125
86,-20.06125
87,-20.06125
88,-20.06125
89,-20.06125
90,-20.06125
91,-20.06125
92,-20.06125
93,-20.06125
94,-20.06125
95,-20.06125
96,-20.06125
97,-8.8361425
98,3.9050475
99,15.5895775
100,16.3859
101,16.3859
102,16.3859
103,16.3859
104,16.3859
105,16.3859
106,16.3859
107,16.3859
108,16.3859
109,16.3859
110,16.3859
111,16.3859
112,16.3859
113,16.3859
114,16.3859
115,16.3859
116,16.3859
117,16.3859
118,17.58039
119,32.8282368421053
120,40.4594325
121,40.58195
122,39.5901833333333
123,29.2496157894737
124,25.589585
125,21.8183315789474
126,19.7856
127,18.2381833333333
128,18.2236
129,18.2236
130,18.2236
131,18.2236
132,18.2236
133,18.2236
134,18.2236
135,18.2236
136,18.2236
137,18.2236
138,18.2236
139,18.2236
140,18.2236
141,21.14854
142,22.81775
143,25.130155
144,59.326185
145,73.5633052631579
146,76.11025
147,77.289425
148,81.2404125
149,84.3491575
150,86.1690921052632
151,86.21745
152,86.21745
153,86.21745
154,86.21745
155,86.21745
156,86.21745
157,86.21745
158,86.21745
159,86.21745
160,86.21745
161,86.21745
162,86.21745
163,86.21745
164,86.21745
165,86.21745
166,86.21745
167,86.21745
168,86.21745
169,86.9232260869566
170,90.1991
171,90.1991
172,90.1991
173,90.1991
174,90.1991
175,90.1991
176,90.1991
177,90.1991
178,90.1991
179,90.1991
180,90.1991
181,90.1991
182,90.1991
183,90.1991
184,90.1991
185,90.1991
186,90.1991
187,90.1991
188,90.1991
189,90.1991
190,90.1991
191,90.1991
192,90.1991
193,90.1991
194,90.1991
195,90.1991
196,90.1991
197,90.1991
198,90.1991
199,90.1991
200,90.1991
201,90.1991
202,90.1991
203,90.1991
204,90.1991
205,90.1991
206,90.1991
207,90.1991
208,90.1991
209,90.1991
