"media_open; media_play; media_pause; media_play; media_end","2022/09/13 15:22:03:292; 2022/09/13 15:22:08:740; 2022/09/13 15:22:22:456; 2022/09/13 15:24:06:950; 2022/09/13 15:30:51:421"
"Multimedia File","8.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,3.0168475
18,54.1653875
19,69.8162325
20,71.82235
21,71.82235
22,71.82235
23,71.82235
24,71.82235
25,71.82235
26,74.732
27,85.436445
28,86.83
29,86.83
30,86.83
31,86.83
32,86.83
33,86.83
34,86.83
35,86.83
36,86.83
37,86.83
38,86.83
39,86.83
40,86.83
41,86.83
42,86.83
43,86.83
44,86.83
45,86.83
46,86.83
47,86.83
48,86.83
49,86.83
50,86.83
51,86.83
52,86.83
53,86.83
54,86.83
55,86.83
56,86.83
57,86.83
58,86.83
59,86.83
60,86.83
61,86.83
62,86.83
63,86.83
64,85.237355
65,74.51762
66,74.2726
67,74.2726
68,74.2726
69,74.2726
70,74.2726
71,74.2726
72,74.2726
73,75.1753131578947
74,95.007665
75,99.38745
76,97.6722875
77,97.2435
78,97.2435
79,97.2435
80,97.2435
81,97.2435
82,97.2435
83,97.2435
84,97.2435
85,97.2435
86,97.2435
87,97.2435
88,97.2435
89,97.2435
90,97.2435
91,97.2435
92,97.2435
93,97.2435
94,97.2435
95,97.2435
96,97.2435
97,97.2435
98,97.2435
99,97.2435
100,97.2435
101,97.2435
102,97.2435
103,97.2435
104,97.2435
105,97.2435
106,97.2435
107,97.2435
108,97.2435
109,97.2435
110,97.2435
111,97.2435
112,97.2435
113,97.2435
114,97.2435
115,97.2435
116,97.2435
117,97.2435
118,97.2435
119,84.5595652173913
120,97.2435
121,97.2435
122,97.2435
123,97.2435
124,97.2435
125,97.2435
126,97.2435
127,97.2435
128,97.2435
129,97.2435
130,97.2435
131,97.2435
132,97.2435
133,97.2435
134,97.2435
135,97.2435
136,97.2435
137,97.2435
138,97.2435
139,97.2435
140,97.2435
141,98.07045
142,100
143,100
144,100
145,100
146,100
147,100
148,100
149,100
150,100
151,100
152,100
153,100
154,100
155,100
156,100
157,100
158,100
159,100
160,100
161,100
162,100
163,100
164,100
165,63.7978575
166,51.1888394736842
167,54.36445
168,45.1607875
169,40.4134875
170,43.966325
171,55.4874857142857
172,54.97705
173,54.97705
174,54.97705
175,54.97705
176,54.97705
177,54.97705
178,54.97705
179,54.97705
180,54.97705
181,54.97705
182,54.97705
183,48.5290605263158
184,41.5773225
185,16.7075
186,-11.7151575
187,-14.24195
188,-14.24195
189,-14.24195
190,-14.24195
191,-14.24195
192,-14.24195
193,-14.24195
194,-14.24195
195,-14.24195
196,-14.24195
197,-14.24195
198,-14.24195
199,-14.24195
200,-14.24195
201,-14.24195
202,-14.24195
203,-14.24195
204,-14.24195
205,-14.24195
206,-14.24195
207,-14.24195
208,-14.24195
209,-14.24195
210,-13.2908763157895
211,30.0517857142857
212,53.5423605263158
213,67.5183315789474
214,67.53445
215,67.53445
216,67.53445
217,67.53445
218,67.53445
219,67.53445
220,67.53445
221,67.53445
222,67.53445
223,67.53445
224,67.53445
225,67.53445
226,67.53445
227,67.53445
228,67.53445
229,67.53445
230,67.53445
231,67.53445
232,67.53445
233,67.53445
234,67.53445
235,67.53445
236,67.53445
237,67.53445
238,67.53445
239,67.53445
240,67.53445
241,67.53445
242,67.53445
243,67.53445
244,67.53445
245,67.53445
246,67.53445
247,67.53445
248,67.53445
249,67.53445
250,67.53445
251,67.53445
252,67.53445
253,67.53445
254,67.53445
255,67.53445
256,67.53445
257,67.53445
258,67.53445
259,67.53445
260,67.53445
261,74.2242263157895
262,88.6677
263,88.6677
264,88.6677
265,88.6677
266,88.6677
267,88.6677
268,88.6677
269,88.6677
270,88.6677
271,88.6677
272,88.6677
273,88.6677
274,88.6677
275,88.6677
276,88.6677
277,88.6677
278,88.6677
279,88.6677
280,88.6677
281,88.6677
282,88.6677
283,88.6677
284,88.6677
285,88.6677
286,88.6677
287,88.6677
288,88.6677
289,88.6677
290,88.6677
291,88.6677
292,88.6677
293,88.6677
294,88.6677
295,88.6677
296,88.6677
297,88.6677
298,88.6677
299,88.6677
300,88.6677
301,88.6677
302,88.6677
303,88.6677
304,88.6677
305,88.6677
306,88.6677
307,88.6677
308,91.0260425
309,95.09955
310,95.09955
311,95.09955
312,95.09955
313,95.09955
314,95.09955
315,95.09955
316,95.09955
317,95.09955
318,95.09955
319,95.09955
320,95.09955
321,95.09955
322,95.09955
323,95.09955
324,95.09955
325,95.09955
326,95.09955
327,95.09955
328,95.09955
329,95.09955
330,95.09955
