"media_open; media_play; media_pause; media_play; media_pause; media_play; media_pause; media_play; media_end","2022/09/14 12:06:57:624; 2022/09/14 12:08:50:564; 2022/09/14 12:10:23:014; 2022/09/14 12:10:26:877; 2022/09/14 12:10:27:550; 2022/09/14 12:11:23:954; 2022/09/14 12:11:24:758; 2022/09/14 12:11:31:918; 2022/09/14 12:13:05:174"
"Multimedia File","2.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,2.274115
2,42.2664675
3,47.62635
4,47.62635
5,47.62635
6,51.4306473684211
7,57.3506825
8,68.7112105263158
9,71.2098
10,71.2098
11,71.2098
12,71.2098
13,71.2098
14,71.2098
15,61.88361
16,53.1831071428572
17,59.5712
18,59.5712
19,59.5712
20,59.5712
21,59.5712
22,59.5712
23,59.5712
24,59.5712
25,59.5712
26,59.5712
27,59.5712
28,59.5712
29,59.5712
30,59.5712
31,59.5712
32,59.5712
33,59.5712
34,59.5712
35,59.5712
36,59.5712
37,59.5712
38,59.5712
39,59.7001605263158
40,74.073505
41,76.7228
42,76.7228
43,76.7228
44,76.7228
45,76.7228
46,76.7228
47,74.4982552631579
48,75.465452631579
49,91.8683
50,89.28025
51,89.28025
52,89.28025
53,89.28025
54,89.28025
55,89.28025
56,89.1577375
57,87.044395
58,86.83
59,86.83
60,86.83
61,86.83
62,86.83
63,86.83
64,86.83
65,86.83
66,86.83
67,86.83
68,86.83
69,86.83
70,86.83
71,86.83
72,86.83
73,86.83
74,86.83
75,86.83
76,80.24501
77,-21.3992105263158
78,-22.2052
79,-22.2052
80,-22.2052
81,-22.234369047619
82,-27.1056842105263
83,-27.71825
84,-27.71825
85,-27.71825
86,-27.71825
87,-27.71825
88,-32.634015
89,-50.918845
90,-54.0582
91,-54.0582
92,-54.0582
93,-54.0582
94,-54.0582
95,-54.0582
96,-54.0582
97,-54.0582
98,-54.0582
99,-54.0582
100,-54.0582
101,-54.0582
102,-54.0582
103,-54.0582
104,-54.0582
105,-54.0582
106,-54.0582
107,-54.0582
108,-54.0582
109,-54.0582
110,-54.0582
111,-54.0582
112,-54.0582
113,-54.0582
114,-54.0582
115,-54.0582
116,-54.0582
117,-54.0582
118,-54.0582
119,-54.0582
120,-54.0582
121,-54.0582
122,-54.0582
123,-54.0582
124,-54.0582
125,-54.0582
126,-54.0582
127,-54.0582
128,-54.0582
129,-54.0582
130,-54.0582
131,-54.0582
132,-54.0582
133,-54.0582
134,-54.0582
135,-54.0582
136,-54.0582
137,-54.0582
138,-54.0582
139,-54.0582
140,-54.0582
141,-54.0582
142,-54.0582
143,-54.0582
144,-63.782545
145,-81.3476275
146,-81.92955
147,-81.92955
148,-81.92955
149,-81.92955
150,-81.92955
151,-81.92955
152,-81.92955
153,-81.92955
154,-81.92955
155,-81.92955
156,-81.92955
157,-81.92955
158,-81.92955
159,-81.92955
160,-81.92955
161,-81.92955
162,-81.92955
163,-81.92955
164,-81.92955
165,-81.92955
166,-81.92955
167,-81.92955
168,-81.92955
169,-81.92955
170,-81.92955
171,-81.92955
172,-81.92955
173,-81.92955
174,-81.92955
175,-81.92955
176,-81.92955
177,-81.92955
178,-81.92955
179,-81.92955
180,-81.92955
181,-81.92955
182,-86.8912675
183,-100
184,-100
185,-100
186,-100
187,-100
