"media_open; media_play; media_pause; media_play; media_end","2022/09/14 12:01:23:901; 2022/09/14 12:02:02:148; 2022/09/14 12:04:02:186; 2022/09/14 12:05:01:702; 2022/09/14 12:05:15:845"
"Multimedia File","1.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0.765694999999999
2,36.61562
3,54.7191131578947
4,54.0582
5,54.0582
6,51.393575
7,8.1808552631579
8,21.11791
9,53.751895
10,54.36445
11,54.36445
12,54.36445
13,54.36445
14,54.36445
15,28.86677
16,16.07965
17,18.4958416666667
18,13.3997075
19,9.64780000000001
20,9.64780000000001
21,9.64780000000001
22,9.64780000000001
23,9.64780000000001
24,9.64780000000001
25,9.64780000000001
26,9.64780000000001
27,9.64780000000001
28,21.9634
29,20.6738
30,20.6738
31,22.006115
32,48.97397
33,54.0582
34,54.0582
35,54.0582
36,54.0582
37,54.0582
38,54.0582
39,52.2817775
40,48.05511
41,67.1669325
42,69.9847
43,69.9847
44,69.9847
45,73.82849
46,81.6233
47,81.6233
48,81.6233
49,81.6233
50,81.6233
51,81.6233
52,81.6233
53,81.6233
54,81.6233
55,81.6233
56,81.6233
57,81.6233
58,81.6233
59,81.6233
60,81.6233
61,81.6233
62,81.6233
63,81.6233
64,81.6233
65,81.6233
66,81.6233
67,81.6233
68,81.6233
69,81.6233
70,81.6233
71,81.6233
72,81.6233
73,81.6233
74,81.6233
75,81.6233
76,81.6233
77,78.46862
78,63.5358
79,62.94025
80,62.94025
81,62.94025
82,62.94025
83,62.94025
84,62.94025
85,62.94025
86,62.94025
87,62.94025
88,62.94025
89,62.94025
90,62.94025
91,62.94025
92,62.94025
93,62.94025
94,62.94025
95,62.94025
96,62.94025
97,61.6184236842105
98,54.36445
99,54.36445
100,54.36445
101,54.36445
102,54.36445
103,25.7784547619048
104,3.36098157894737
105,3.2159
106,3.2159
107,3.2159
108,3.2159
109,3.2159
110,3.2159
111,3.2159
112,3.2159
113,3.4149825
114,23.5469904761905
115,27.10565
116,27.10565
117,27.10565
118,27.10565
119,27.10565
120,27.10565
121,27.10565
122,27.10565
123,27.10565
124,27.10565
125,27.10565
126,27.10565
127,22.10565
128,17.10565
129,19.10565
130,30.7898605263158
131,47.10565
132,47.10565
133,47.10565
134,47.10565
