"media_open; media_play; media_pause; media_play; media_pause; media_play; media_pause; media_play; media_end","2022/09/14 14:36:21:704; 2022/09/14 14:36:27:622; 2022/09/14 14:36:45:036; 2022/09/14 14:37:26:992; 2022/09/14 14:38:44:193; 2022/09/14 14:39:37:170; 2022/09/14 14:40:24:088; 2022/09/14 14:40:46:326; 2022/09/14 14:41:51:977"
"Multimedia File","10.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,-6
4,3.5
5,29.4341894736842
6,36.7840725
7,40.27565
8,40.27565
9,40.27565
10,40.27565
11,40.27565
12,40.27565
13,40.27565
14,40.27565
15,40.27565
16,40.27565
17,40.27565
18,40.27565
19,40.27565
20,40.27565
21,40.27565
22,40.27565
23,40.27565
24,40.27565
25,40.27565
26,40.27565
27,40.27565
28,40.27565
29,40.27565
30,40.27565
31,40.27565
32,40.27565
33,40.27565
34,40.27565
35,39.49464
36,18.4331368421053
37,17.8866725
38,13.583465
39,12.9585119047619
40,5.34376315789474
41,4.44105
42,4.44105
43,7.9173075
44,23.09342
45,23.12405
46,23.0756894736842
47,20.091875
48,18.2381833333333
49,17.2725078947368
50,16.3859
51,16.3859
52,16.3859
53,16.3859
54,16.3859
55,35.9555131578947
56,42.97092
57,59.6518131578947
58,67.2282
59,67.2282
60,67.2282
61,67.2282
62,67.2282
63,67.2282
64,67.2282
65,67.2282
66,67.2282
67,67.2282
68,67.2282
69,67.2282
70,67.2282
71,67.2282
72,67.2282
73,67.2282
74,67.2282
75,67.2282
76,67.2282
77,67.2282
78,67.2282
79,67.2282
80,67.2282
81,64.9157875
82,60.9188375
83,62.634
84,62.634
85,62.634
86,62.634
87,62.634
88,62.634
89,62.634
90,62.634
91,62.634
92,62.634
93,62.634
94,62.634
95,62.634
96,62.634
97,62.634
98,62.634
99,62.634
100,62.634
101,62.634
102,62.634
103,62.634
104,62.6662394736842
105,67.7947925
106,69.06585
107,69.06585
108,69.06585
109,69.06585
110,69.06585
111,69.06585
112,69.06585
113,69.06585
114,69.06585
115,69.06585
116,69.06585
117,69.06585
118,69.06585
119,69.06585
120,69.06585
121,69.06585
122,69.06585
123,69.06585
124,69.06585
125,69.06585
126,69.06585
127,69.06585
128,69.06585
129,69.6784075
130,87.963235
131,88.97395
132,88.97395
133,88.97395
134,72.664615
135,63.3537475
136,66.17151
137,66.6156
138,66.6156
139,66.6156
140,66.6156
141,66.6156
142,66.6156
143,66.6156
144,66.6156
145,66.6156
146,66.6156
147,66.6156
148,65.4736190476191
149,52.6156
150,46.6156
151,44.8891605263158
152,43.6447
153,43.6447
154,43.6447
155,43.6447
156,43.6447
157,43.6447
158,43.6447
159,52.9708975
160,70.59725
161,70.59725
162,70.59725
163,70.59725
164,70.2352818181818
165,70.59725
166,70.59725
167,70.59725
168,70.59725
169,70.59725
170,70.59725
171,70.59725
172,70.59725
173,70.59725
174,70.59725
175,70.59725
176,70.59725
177,70.59725
178,70.59725
179,70.59725
180,70.59725
181,70.59725
182,70.59725
183,70.59725
184,70.59725
185,70.59725
186,70.59725
187,70.59725
188,70.59725
189,70.59725
190,70.59725
191,70.59725
192,70.59725
193,70.59725
194,70.59725
195,70.59725
196,70.59725
197,70.59725
198,70.59725
199,70.59725
200,70.59725
201,70.59725
202,70.59725
203,70.59725
204,70.59725
205,70.4682894736842
206,44.4716525
207,44.25725
