"media_open; media_play; media_pause; media_play; media_end","2022/09/14 12:19:24:133; 2022/09/14 12:19:40:066; 2022/09/14 12:20:42:395; 2022/09/14 12:34:11:218; 2022/09/14 12:36:26:156"
"Multimedia File","4.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,0
4,0
5,0
6,0
7,19.5
8,41.90505
9,48.54515
10,48.54515
11,48.54515
12,48.54515
13,48.57578
14,58.453295
15,60.49005
16,60.49005
17,60.49005
18,62.05207
19,73.522195
20,76.7228
21,76.7228
22,76.7228
23,76.7228
24,76.7228
25,76.7228
26,76.7228
27,76.7228
28,76.7228
29,76.7228
30,76.7228
31,76.7228
32,65.329245
33,64.1654
34,64.1654
35,63.7462815789474
36,55.007655
37,54.67075
38,65.7733575
39,76.41655
40,76.41655
41,76.41655
42,76.41655
43,76.41655
44,76.41655
45,76.41655
46,76.41655
47,76.41655
48,76.41655
49,76.41655
50,76.41655
51,76.41655
52,76.41655
53,76.41655
54,76.63094
55,77.64165
56,77.64165
57,77.64165
58,77.64165
59,77.64165
60,77.64165
61,77.64165
62,77.64165
63,77.64165
64,77.64165
65,77.64165
66,77.64165
67,77.64165
68,77.64165
69,77.64165
70,77.64165
71,77.64165
72,77.64165
73,77.64165
74,77.64165
75,77.64165
76,77.64165
77,77.64165
78,77.64165
79,77.64165
80,77.64165
81,77.64165
82,77.64165
83,77.64165
84,77.64165
85,77.64165
86,77.64165
87,77.64165
88,77.64165
89,77.64165
90,77.64165
91,77.64165
92,77.64165
93,77.64165
94,77.64165
95,77.64165
96,77.64165
97,77.64165
98,77.64165
99,77.9785575
100,98.37672
101,100
102,100
103,100
104,100
105,100
106,100
107,100
108,100
109,100
110,100
111,100
112,100
113,100
114,100
115,100
116,100
117,100
118,100
119,100
120,100
121,100
122,100
123,100
124,100
125,100
126,100
127,100
128,100
129,100
130,100
131,100
132,100
133,100
134,100
135,93.2296289473684
136,82.7871325
137,81.92955
138,81.92955
139,81.92955
140,81.92955
141,81.92955
142,81.92955
143,81.92955
144,81.92955
145,81.92955
146,81.92955
147,81.92955
148,81.92955
149,81.92955
150,81.92955
151,81.92955
152,81.92955
153,81.92955
154,81.92955
155,81.92955
156,81.92955
157,81.92955
158,81.92955
159,81.92955
160,81.92955
161,81.92955
162,81.92955
163,81.92955
164,81.92955
165,81.92955
166,81.92955
167,81.92955
168,81.92955
169,81.92955
170,81.92955
171,81.92955
172,81.92955
173,81.92955
174,81.92955
175,81.92955
176,81.92955
177,80.8333947368421
178,70.8422675
179,61.4395025
180,58.3461
181,58.3461
182,58.3461
183,58.3461
184,58.3461
185,58.3461
186,58.3461
187,58.0245075
188,47.04441
189,39.9540375
190,39.96935
191,39.96935
192,39.96935
193,39.96935
194,39.96935
195,39.96935
196,39.96935
197,39.96935
