"media_open; media_play; media_pause; media_play; media_end","2022/09/13 11:50:26:728; 2022/09/13 11:50:34:611; 2022/09/13 11:53:26:338; 2022/09/13 11:54:57:329; 2022/09/13 11:55:32:791"
"Multimedia File","10.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,40.252675
33,57.0750425
34,45.5146263157895
35,39.5559
36,37.840715
37,37.8254
38,37.8254
39,37.8254
40,37.8254
41,37.8254
42,37.8254
43,37.8254
44,37.8254
45,39.1311263157895
46,40.107185
47,40.41346
48,50.934145
49,58.8128047619048
50,60.2178111111111
51,60.6431925
52,69.525275
53,76.554355
54,79.3568075
55,79.7856
56,79.7856
57,79.7856
58,79.7856
59,79.7856
60,79.7856
61,80.1378225
62,81.6233
63,81.6233
64,81.6233
65,81.6233
66,81.6233
67,81.6233
68,81.6233
69,81.6233
70,81.6233
71,81.6233
72,81.6233
73,84.931095
74,92.8105105263158
75,99.6783875
76,99.6937
77,99.6937
78,99.6937
79,99.6937
80,99.6937
81,98.882075
82,98.0978394736842
83,96.9372
84,96.9372
85,96.9372
86,96.9372
87,96.9372
88,96.9372
89,96.9372
90,96.9372
91,96.9372
92,96.9372
93,96.9372
94,96.9372
95,96.9372
96,96.9372
97,96.5543625
98,91.391952631579
99,73.093415
100,46.6768625
101,42.1133
102,42.1133
103,42.1133
104,45.66615
105,55.252685
106,57.121
107,57.121
108,57.121
109,60.5206825
110,69.1577275
111,69.6784
112,69.6784
113,69.7106394736842
114,71.6539
115,71.82235
116,71.82235
117,71.82235
118,71.82235
119,71.82235
120,71.82235
121,71.82235
122,71.82235
123,71.82235
124,71.82235
125,71.82235
126,71.82235
127,71.82235
128,71.82235
129,71.82235
130,71.82235
131,71.82235
132,71.82235
133,71.82235
134,71.82235
135,71.34762
136,57.6206947368421
137,37.07503
138,12.3605214285714
139,12.6783289473684
140,13.01685
141,13.0627875
142,13.3231
143,13.3231
144,13.3231
145,13.3231
146,23.140147368421
147,46.9065775
148,48.54515
149,48.54515
150,48.54515
151,49.0126368421053
152,52.4684738095238
153,52.8331
154,52.8331
155,53.3690825
156,68.9691289473684
157,77.2128675
158,82.159265
159,84.885145
160,86.110265
161,89.1029184210526
162,89.28025
163,89.28025
164,89.28025
165,89.28025
166,89.28025
167,89.28025
168,89.28025
169,89.28025
170,89.28025
171,89.28025
172,89.28025
173,89.28025
174,89.28025
175,91.010725
176,99.2496175
177,100
178,100
179,100
180,100
181,100
182,100
183,100
184,100
185,100
186,86.8759675
187,73.4704214285714
188,69.9363263157895
189,67.51835
190,58.2585976190476
191,53.98163
192,54.0582
193,54.0582
194,54.0582
195,54.0582
196,47.993875
197,27.7641525
198,22.1592725
199,19.908105
200,18.8667775
201,18.83615
202,18.83615
203,18.83615
204,28.2235875
205,37.8254
206,38.3090052631579
207,39.402745
