"media_open; media_play; media_pause; media_play; media_pause; media_play; media_end","2022/09/13 13:06:44:462; 2022/09/13 13:06:51:784; 2022/09/13 13:13:23:588; 2022/09/13 13:14:11:375; 2022/09/13 13:17:33:423; 2022/09/13 13:17:51:461; 2022/09/13 13:19:03:792"
"Multimedia File","v0.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,22.8016421052632
9,50.9647775
10,53.44565
11,53.44565
12,53.8540071428572
13,54.36445
14,54.36445
15,54.36445
16,54.36445
17,54.36445
18,54.36445
19,54.36445
20,54.36445
21,54.36445
22,54.36445
23,55.43643
24,66.0336925
25,66.9219
26,66.9219
27,66.9219
28,66.9219
29,66.9219
30,66.9219
31,66.9219
32,66.9219
33,66.9219
34,66.9219
35,66.9219
36,66.9219
37,66.9219
38,66.9219
39,66.9219
40,66.9219
41,66.9219
42,66.9219
43,66.9219
44,66.9219
45,66.9219
46,66.9219
47,66.9219
48,66.9219
49,66.9219
50,66.9219
51,66.9219
52,66.9219
53,66.9219
54,69.5010868421053
55,88.1518526315789
56,91.1025875
57,91.0566475
58,88.74426
59,86.2980657894737
60,86.5084175
61,87.1363
62,87.1363
63,87.1363
64,86.6768805555556
65,85.0382675
66,85.2986
67,85.2986
68,85.2986
69,85.2986
70,85.2986
71,85.2986
72,85.2986
73,85.2986
74,85.2986
75,85.2986
76,85.2986
77,85.2986
78,85.2986
79,85.2986
80,85.2986
81,85.2986
82,85.2986
83,85.2986
84,85.2986
85,85.2986
86,85.2986
87,85.2986
88,85.2986
89,85.2986
90,81.2097925
91,68.8820725
92,68.147
93,68.2114815789473
94,69.6784175
95,69.37215
96,69.37215
97,69.37215
98,73.3215157894737
99,80.0153075
100,81.2557575
101,81.6233
102,81.6233
103,81.6233
104,81.6233
105,81.6233
106,81.6233
107,81.6233
108,81.6233
109,81.6233
110,81.6233
111,81.6233
112,81.6233
113,81.6233
114,81.6233
115,81.6233
116,81.6233
117,81.6233
118,81.6233
119,81.6233
120,81.6233
121,81.6233
122,81.6233
123,81.6233
124,81.6233
125,81.6233
126,81.6233
127,81.6233
128,81.6233
129,82.679955
130,91.868305
131,92.9556
132,92.9556
133,92.9556
134,91.13322
135,89.4333825
136,89.28025
137,89.28025
138,89.28025
139,89.28025
140,89.28025
141,89.28025
142,89.28025
143,89.28025
144,89.28025
145,89.28025
146,89.28025
147,89.28025
148,89.28025
149,89.28025
150,89.28025
151,89.28025
152,89.28025
153,89.28025
154,89.28025
155,89.28025
156,89.28025
157,89.28025
158,89.28025
159,89.28025
160,89.28025
161,89.28025
162,89.28025
163,89.28025
164,89.28025
165,89.28025
166,89.28025
167,89.28025
168,89.28025
169,89.28025
170,89.28025
171,89.28025
172,89.28025
173,89.28025
174,89.28025
175,89.28025
176,89.28025
177,89.28025
178,89.28025
179,89.5865238095238
180,92.3260333333333
181,92.34305
182,92.34305
183,92.34305
184,92.34305
185,92.34305
186,92.34305
187,92.34305
188,92.34305
189,92.34305
190,92.34305
191,92.34305
192,92.34305
193,92.34305
194,92.34305
195,92.34305
196,92.34305
197,92.34305
198,92.34305
199,92.34305
200,92.34305
201,92.34305
202,92.34305
203,92.34305
204,92.34305
205,92.34305
206,90.90353
207,90.81165
208,90.81165
209,90.81165
210,90.81165
211,90.81165
212,90.81165
213,90.81165
214,90.81165
215,90.81165
216,90.81165
217,90.81165
218,90.81165
219,90.81165
220,90.81165
221,90.81165
222,90.81165
223,90.81165
224,90.81165
225,90.81165
226,90.81165
227,90.81165
228,90.81165
229,90.81165
230,90.81165
231,90.81165
232,90.81165
233,90.81165
234,90.81165
235,93.874425
236,93.7366125
237,92.9556
238,93.3843875
239,97.7182175000001
240,97.85605
241,99.356815
242,100
243,100
244,100
245,100
246,100
247,100
248,100
249,100
250,100
251,100
252,100
253,100
254,100
255,99.785605
256,96.20214
257,86.6849368421052
258,82.61868
259,81.7304875
260,81.6233
261,81.6233
262,81.6233
263,83.8317131578948
264,86.21745
265,86.21745
266,86.21745
267,86.21745
268,86.21745
269,86.21745
270,86.21745
271,86.21745
272,86.21745
273,86.21745
274,86.21745
275,86.21745
276,86.21745
277,86.21745
278,86.21745
279,86.21745
280,86.21745
281,86.21745
282,86.21745
283,86.21745
284,86.21745
285,86.21745
286,86.21745
287,86.21745
288,86.21745
289,86.21745
290,86.21745
291,86.21745
292,86.21745
293,85.0229725
294,81.47014
295,79.4632052631579
296,77.94795
297,77.6263375
298,76.447175
299,76.41655
300,76.41655
301,76.41655
302,76.41655
303,76.41655
304,76.41655
305,76.41655
306,76.41655
307,76.41655
308,76.41655
309,76.41655
310,76.41655
311,76.41655
312,76.41655
313,76.41655
314,76.41655
315,76.41655
316,76.41655
317,76.41655
318,76.41655
319,76.41655
320,76.41655
321,76.41655
322,76.41655
323,76.41655
324,76.41655
325,76.41655
326,76.41655
327,76.41655
328,76.41655
329,76.41655
330,76.41655
331,76.41655
332,76.41655
333,76.41655
334,76.41655
335,76.41655
336,76.41655
337,76.41655
338,76.41655
339,76.41655
340,76.41655
341,76.41655
342,76.41655
343,76.41655
344,76.41655
345,76.41655
346,76.41655
347,76.41655
348,76.41655
349,76.41655
350,76.41655
351,76.41655
352,76.41655
353,76.41655
354,76.41655
355,76.41655
356,76.41655
357,76.41655
358,76.41655
359,77.5957225
360,82.03675
361,80.0772952380952
362,79.7856
363,79.7856
364,79.7856
365,79.7856
366,79.7856
367,79.7856
368,79.7856
369,79.7856
370,79.7856
371,79.7856
372,79.7856
373,79.7856
374,79.7856
375,79.7856
376,79.7856
377,79.7856
378,79.7856
379,79.7856
380,79.7856
381,79.7856
382,79.7856
383,79.7856
384,79.7856
385,79.7856
386,79.7856
387,79.7856
388,79.7856
389,79.7856
390,79.7856
391,79.7856
392,79.7856
393,79.7856
394,79.7856
395,79.7856
396,79.7856
397,79.7856
398,79.7856
399,79.7856
400,79.7856
401,79.7856
402,79.7856
403,79.7856
404,79.7856
405,79.7856
406,79.7856
407,79.7856
408,79.7856
409,79.7856
410,79.7856
411,79.7856
412,79.7856
413,79.7856
414,79.7856
415,79.7856
416,79.7856
417,79.7856
418,79.7856
419,79.7856
420,79.7856
421,79.7856
422,79.7856
423,79.7856
424,79.7856
425,79.7856
426,79.7856
427,79.7856
428,79.7856
429,79.7856
430,79.7856
431,79.7856
432,79.7856
433,79.7856
434,79.7856
435,79.7856
436,79.7856
437,79.7856
438,79.7856
439,79.7856
440,79.7855999999999
441,79.7856
442,79.7856
443,79.7856
444,79.7856
445,82.9862175
446,85.3751925
447,84.3798
448,84.3798
449,84.3798
450,84.3798
451,84.3798
452,84.3798
453,84.3798
454,84.3798
455,84.3798
456,84.3798
457,84.3798
458,84.3798
459,84.3798
460,84.3798
461,84.3798
462,84.3798
463,84.3798
464,84.3798
465,84.3798
466,84.3798
467,84.3798
468,84.3798
469,84.3798
470,84.3798
471,84.3798
472,84.3798
473,84.3798
474,84.3798
475,84.3798
476,85.74273
477,89.81623
478,89.8928
479,89.8928
480,89.8928
481,89.8928
482,89.8928
483,89.8928
484,89.8928
485,89.8928
486,89.8928
487,89.8928
488,89.8928
489,89.8928
490,91.5262880952381
491,99.3874394736842
492,100
493,100
494,100
495,100
496,100
497,100
498,100
499,100
500,100
501,100
502,100
503,100
504,100
505,100
506,100
507,100
508,100
509,100
510,100
511,100
512,100
513,100
514,100
515,100
516,100
517,100
518,100
519,100
520,100
521,100
522,100
523,100
524,100
525,100
526,100
527,100
528,100
529,100
530,100
531,100
532,100
533,100
534,100
535,100
536,100
537,100
538,100
539,100
540,100
541,100
542,100
543,100
544,100
545,100
546,100
547,100
548,100
549,100
550,100
551,100
552,100
553,100
554,100
555,100
556,100
557,100
558,100
559,100
560,100
561,100
562,100
563,100
564,100
565,100
566,100
567,100
568,100
569,100
570,100
571,100
572,100
573,100
574,100
575,100
576,100
577,100
578,100
579,100
580,100
581,100
582,100
583,100
584,100
585,100
586,100
587,100
588,100
589,100
590,100
591,100
