"media_open; media_play; media_end","2022/11/09 17:08:16:274; 2022/11/09 17:08:22:099; 2022/11/09 17:13:22:358"
"Multimedia File","v6.mp4"
"Lower Label","Negative Affect"
"Upper Label","Positive Affect"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,0.1454825
4,24.2419625
5,26.7994
6,26.7994
7,26.7994
8,26.7994
9,26.7994
10,26.7994
11,26.7994
12,26.7994
13,26.7994
14,26.7994
15,26.7994
16,26.7994
17,26.7994
18,26.7994
19,26.7994
20,26.7994
21,28.1373473684211
22,38.8087342105263
23,56.0490025
24,56.8147
25,56.8147
26,56.8147
27,56.8147
28,56.8147
29,56.8147
30,56.8147
31,56.8147
32,56.8147
33,56.8147
34,56.8147
35,56.8147
36,56.8147
37,56.8147
38,56.8147
39,56.8147
40,56.8147
41,56.8147
42,56.8147
43,56.8147
44,56.8147
45,56.8147
46,56.8147
47,56.8147
48,56.8147
49,56.8147
50,56.8147
51,56.8147
52,56.8147
53,56.8147
54,56.8147
55,56.8147
56,56.8147
57,56.8147
58,56.8147
59,56.8147
60,56.8147
61,56.8147
62,56.8147
63,56.8147
64,56.8147
65,56.8147
66,56.8147
67,56.8147
68,56.8147
69,56.8147
70,56.8147
71,56.8147
72,56.8147
73,56.8147
74,56.8147
75,56.8147
76,56.8147
77,56.8147
78,56.8147
79,46.8147
80,31.5515421052632
81,26.8147
82,26.8147
83,26.8147
84,24.3147
85,6.8147
86,6.8147
87,6.8147
88,1.02522631578948
89,4.8147
90,4.14282631578947
91,3.0934025
92,1.07195
93,1.07195
94,1.07195
95,1.07195
96,1.07195
97,1.07195
98,1.07195
99,1.07195
100,1.07195
101,1.07195
102,1.07195
103,1.07195
104,13.1772131578947
105,21.07195
106,21.07195
107,21.07195
108,21.07195
109,21.07195
110,21.07195
111,21.07195
112,13.07195
113,1.07195
114,3.2465325
115,23.2691289473684
116,25.268
117,25.268
118,25.268
119,25.268
120,25.268
121,25.268
122,25.268
123,25.268
124,25.268
125,25.268
126,25.268
127,25.268
128,25.268
129,25.268
130,25.268
131,25.268
132,25.268
133,25.268
134,25.268
135,25.268
136,25.268
137,25.268
138,25.268
139,25.268
140,25.268
141,25.268
142,25.268
143,25.268
144,25.268
145,25.268
146,25.268
147,25.268
148,25.268
149,25.268
150,25.268
151,25.268
152,25.268
153,25.268
154,25.268
155,25.268
156,25.268
157,31.0574736842105
158,37.5306325
159,49.15775
160,49.15775
161,49.15775
162,45.65775
163,39.15775
164,39.15775
165,39.15775
166,39.15775
167,39.15775
168,39.15775
169,39.15775
170,39.15775
171,39.15775
172,39.15775
173,39.15775
174,39.15775
175,39.15775
176,39.15775
177,39.15775
178,39.15775
179,39.15775
180,39.15775
181,39.15775
182,39.15775
183,39.15775
184,39.15775
185,39.15775
186,39.15775
187,39.15775
188,39.15775
189,39.15775
190,39.15775
191,39.15775
192,39.15775
193,39.15775
194,39.15775
195,39.15775
196,39.15775
197,39.15775
198,39.15775
199,39.15775
200,39.15775
201,33.8945921052631
202,7.93262999999999
203,2.54209750000001
204,2.60335000000001
205,29.3463289473684
206,48.8820825
207,52.2205
208,52.2205
209,52.2205
210,52.2205
211,52.2205
212,52.2205
213,52.2205
214,52.2205
215,52.2205
216,52.2205
217,52.2205
218,52.2205
219,52.2205
220,52.2205
221,52.2205
222,52.2205
223,52.2205
224,52.2205
225,52.2205
226,52.2205
227,52.2205
228,52.2205
229,52.2205
230,52.2205
231,52.2205
232,52.2205
233,52.2205
234,52.2205
235,52.2205
236,52.2205
237,52.2205
238,52.2205
239,52.2205
240,52.2205
241,52.2205
242,52.2205
243,52.2205
244,52.2205
245,52.2205
246,52.2205
247,52.2205
248,52.2205
249,52.2205
250,52.2205
251,52.2205
252,52.2205
253,52.2205
254,52.2205
255,52.2205
256,52.2205
257,60.7205
258,55.3783947368421
259,38.7205
260,32.2205
261,32.2205
262,32.2205
263,32.2205
264,32.2205
265,32.2205
266,32.2205
267,32.2205
268,32.2205
269,32.2205
270,32.2205
271,32.2205
272,32.2205
273,32.2205
274,32.2205
275,32.2205
276,32.2205
277,32.2205
278,32.2205
279,32.2205
280,32.2205
281,32.2205
282,32.2205
283,32.2205
284,32.2205
285,32.2205
286,32.2205
287,32.2205
288,32.2205
289,32.2205
290,32.2205
291,32.2205
292,32.2205
293,32.2205
294,32.2205
295,32.2205
296,32.2205
297,32.2205
298,32.2205
299,32.2205
300,32.2205
