"media_open; media_play; media_pause; media_play; media_end","2022/11/01 12:26:41:056; 2022/11/01 12:26:48:990; 2022/11/01 12:26:58:503; 2022/11/01 12:27:02:220; 2022/11/01 12:31:52:795"
"Multimedia File","v4.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,20.06125
2,20.06125
3,20.06125
4,20.06125
5,20.06125
6,20.06125
7,20.06125
8,20.06125
9,20.06125
10,20.06125
11,20.06125
12,20.06125
13,20.06125
14,20.06125
15,20.06125
16,20.06125
17,20.06125
18,20.06125
19,20.06125
20,20.06125
21,20.06125
22,20.06125
23,20.06125
24,20.06125
25,20.06125
26,20.06125
27,20.06125
28,20.06125
29,20.06125
30,20.06125
31,20.06125
32,20.06125
33,20.06125
34,20.06125
35,20.06125
36,20.06125
37,20.06125
38,20.06125
39,20.06125
40,20.06125
41,20.06125
42,20.06125
43,20.06125
44,20.06125
45,20.06125
46,20.06125
47,20.06125
48,20.06125
49,20.06125
50,20.06125
51,20.06125
52,20.06125
53,20.06125
54,20.06125
55,20.06125
56,20.06125
57,20.06125
58,20.06125
59,20.06125
60,20.06125
61,20.06125
62,20.06125
63,20.06125
64,20.06125
65,15.7088657894737
66,7.18142368421053
67,4.98912105263158
68,3.82850000000001
69,3.82850000000001
70,3.82850000000001
71,3.82850000000001
72,3.82850000000001
73,3.82850000000001
74,3.82850000000001
75,3.82850000000001
76,3.82850000000001
77,3.82850000000001
78,3.82850000000001
79,3.82850000000001
80,3.82850000000001
81,3.82850000000001
82,3.82850000000001
83,3.82850000000001
84,3.82850000000001
85,3.82850000000001
86,3.82850000000001
87,3.82850000000001
88,3.82850000000001
89,3.82850000000001
90,3.82850000000001
91,3.82850000000001
92,3.82850000000001
93,3.82850000000001
94,3.82850000000001
95,3.82850000000001
96,3.82850000000001
97,3.82850000000001
98,3.82850000000001
99,3.82850000000001
100,3.82850000000001
101,7.105675
102,45.4823861111111
103,65.6322947368421
104,66.00305
105,64.6328552631579
106,41.5974763157895
107,37.21285
108,36.003852631579
109,21.653915
110,24.1109444444444
111,30.474725
112,33.3924394736842
113,33.8438
114,33.8438
115,33.8438
116,36.3585052631579
117,38.1317
118,38.1317
119,38.1317
120,38.1317
121,38.1317
122,38.1317
123,38.1317
124,38.1317
125,38.1317
126,38.1317
127,38.1317
128,38.1317
129,38.1317
130,38.1317
131,38.1317
132,38.1317
133,38.1317
134,38.1317
135,38.1317
136,38.1317
137,38.1317
138,38.1317
139,38.1317
140,38.1317
141,38.1317
142,38.1317
143,38.1317
144,38.1317
145,38.1317
146,38.1317
147,38.1317
148,38.1317
149,38.1317
150,38.1317
151,38.1317
152,38.1317
153,38.1317
154,38.1317
155,38.1317
156,38.1317
157,38.1317
158,38.1317
159,38.1317
160,38.1317
161,38.1317
162,38.1317
163,38.1317
164,38.1317
165,38.1317
166,38.1317
167,38.1317
168,38.1317
169,38.1317
170,38.1317
171,38.1317
172,38.1317
173,38.1317
174,37.8899
175,22.1201305555555
176,18.83615
177,18.83615
178,18.83615
179,18.83615
180,18.83615
181,18.83615
182,18.83615
183,18.83615
184,18.83615
185,18.83615
186,18.83615
187,18.83615
188,18.83615
189,18.83615
190,18.83615
191,18.83615
192,18.83615
193,18.83615
194,18.83615
195,18.83615
196,18.83615
197,18.83615
198,18.83615
199,18.83615
200,18.83615
201,18.83615
202,18.83615
203,18.83615
204,18.83615
205,18.83615
206,18.83615
207,18.83615
208,18.83615
209,18.83615
210,18.83615
211,18.83615
212,18.83615
213,18.83615
214,18.83615
215,18.83615
216,18.83615
217,18.83615
218,18.83615
219,18.83615
220,18.83615
221,18.83615
222,18.83615
223,18.83615
224,18.83615
225,18.83615
226,18.83615
227,18.83615
228,18.83615
229,18.83615
230,18.83615
231,18.83615
232,18.83615
233,18.83615
234,18.83615
235,18.83615
236,18.83615
237,18.83615
238,18.83615
239,18.83615
240,18.83615
241,18.83615
242,18.83615
243,18.83615
244,18.83615
245,18.83615
246,18.83615
247,18.83615
248,18.83615
249,18.83615
250,18.83615
251,18.83615
252,18.83615
253,18.83615
254,18.83615
255,18.83615
256,18.83615
257,18.83615
258,18.83615
259,18.83615
260,18.83615
261,18.83615
262,18.83615
263,18.83615
264,18.83615
265,18.83615
266,18.83615
267,18.83615
268,18.83615
269,18.83615
270,18.83615
271,18.83615
272,18.83615
273,18.83615
274,18.83615
275,18.83615
276,18.83615
277,18.83615
278,18.83615
279,18.83615
280,18.83615
281,18.83615
282,18.83615
283,18.83615
284,18.83615
285,18.83615
286,18.83615
287,18.83615
288,18.83615
289,18.83615
290,18.83615
291,18.83615
292,18.83615
293,18.83615
294,18.83615
295,18.83615
296,18.83615
297,18.83615
298,18.83615
299,18.83615
300,18.83615
