"media_open; media_play; media_pause; media_play; media_end","2022/11/01 15:48:35:490; 2022/11/01 15:48:40:253; 2022/11/01 15:50:18:976; 2022/11/01 15:51:17:928; 2022/11/01 15:54:39:259"
"Multimedia File","v6.mp4"
"Lower Label","Highly Disengaged"
"Upper Label","Highly Engaged"
"Minimum Value",-100
"Maximum Value",100
"Number of Steps",9
"Second","Rating"
"%%%%%%","%%%%%%"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,-6.09904166666667
23,-19.254669047619
24,-23.2789944444444
25,-27.3312342105263
26,-27.44565
27,-27.44565
28,-28.3466868421053
29,-29.9628263157895
30,-27.7174
31,-27.7174
32,-27.7174
33,-27.7174
34,-27.7174
35,-27.7174
36,-27.7174
37,-27.7174
38,-27.7174
39,-27.7174
40,-27.7174
41,-27.7174
42,-27.7174
43,-27.7174
44,-27.7174
45,-27.7174
46,-27.7174
47,-27.7174
48,-27.7174
49,-27.7174
50,-27.7174
51,-27.7174
52,-27.7174
53,-27.7174
54,-27.7174
55,-27.7174
56,-27.7174
57,-27.7174
58,-27.7174
59,-27.7174
60,-27.7174
61,-27.7174
62,-27.7174
63,-27.7174
64,-27.7174
65,-27.7174
66,-27.7174
67,-27.7174
68,-27.7174
69,-27.7174
70,-27.7174
71,-27.7174
72,-27.7174
73,-27.7174
74,-27.7174
75,-27.7174
76,-27.7174
77,-27.7174
78,-27.7174
79,-27.7174
80,-27.7174
81,-27.7174
82,-27.7174
83,-27.7174
84,-27.7174
85,-27.7174
86,-27.7174
87,-27.7174
88,-27.7174
89,-27.7174
90,-27.7174
91,-27.7174
92,-27.7174
93,-27.7174
94,-27.7174
95,-27.7174
96,-27.7174
97,-27.7174
98,-27.7174
99,-27.7174
100,-27.7174
101,-27.7174
102,-27.7174
103,-27.7174
104,-27.7174
105,-27.7174
106,-27.7174
107,-27.7174
108,-27.7174
109,-27.7174
110,-27.7174
111,-27.7174
112,-27.7174
113,-27.7174
114,-27.7174
115,-27.7174
116,-27.7174
117,-27.7174
118,-27.7174
119,-27.7174
120,-27.7174
121,-27.7174
122,-27.7174
123,-27.7174
124,-27.7174
125,-27.7174
126,-27.7174
127,-27.7174
128,-27.7174
129,-27.7174
130,-27.7174
131,-27.7174
132,-27.7174
133,-27.7174
134,-27.7174
135,-27.7174
136,-27.7174
137,-27.7174
138,-27.7174
139,-31.2500105263158
140,-38.7013868421053
141,-38.5726473684211
142,-38.3152
143,-38.3152
144,-38.3152
145,-38.3152
146,-38.3152
147,-38.3152
148,-38.3152
149,-38.3152
150,-38.3152
151,-38.3152
152,-38.3152
153,-38.3152
154,-38.3152
155,-38.3152
156,-38.3152
157,-38.3152
158,-37.8105428571429
159,-38.3152
160,-38.3152
161,-38.3152
162,-38.3152
163,-38.3152
164,-38.3152
165,-38.3152
166,-38.3152
167,-38.3152
168,-38.3152
169,-38.3152
170,-38.3152
171,-38.3152
172,-38.3152
173,-38.3152
174,-38.3152
175,-38.3152
176,-38.3152
177,-38.3152
178,-38.3152
179,-38.3152
180,-38.3152
181,-38.3152
182,-38.3152
183,-38.3152
184,-38.3152
185,-38.3152
186,-38.3152
187,-38.3152
188,-38.3152
189,-38.3152
190,-38.3152
191,-38.3152
192,-38.3152
193,-38.3152
194,-38.3152
195,-38.3152
196,-38.3152
197,-38.3152
198,-38.3152
199,-38.3152
200,-38.3152
201,-40.8466789473684
202,-44.0760975
203,-45.38045
204,-45.38045
205,-45.38045
206,-45.38045
207,-45.38045
208,-45.38045
209,-45.38045
210,-45.38045
211,-45.38045
212,-45.38045
213,-45.38045
214,-45.38045
215,-45.38045
216,-45.38045
217,-45.38045
218,-45.38045
219,-45.38045
220,-45.38045
221,-45.38045
222,-45.38045
223,-45.38045
224,-45.38045
225,-45.38045
226,-45.38045
227,-45.38045
228,-45.38045
229,-45.38045
230,-45.38045
231,-45.38045
232,-45.38045
233,-45.38045
234,-45.38045
235,-45.38045
236,-45.38045
237,-45.38045
238,-45.38045
239,-45.38045
240,-45.38045
241,-45.38045
242,-45.38045
243,-45.38045
244,-45.38045
245,-45.38045
246,-45.38045
247,-45.38045
248,-45.38045
249,-45.38045
250,-45.38045
251,-45.38045
252,-45.38045
253,-45.38045
254,-45.38045
255,-45.38045
256,-45.38045
257,-45.38045
258,-45.38045
259,-45.38045
260,-45.38045
261,-45.38045
262,-45.38045
263,-45.38045
264,-45.38045
265,-45.38045
266,-45.38045
267,-45.38045
268,-45.38045
269,-45.38045
270,-45.38045
271,-45.38045
272,-42.7488710526316
273,-25.38045
274,-12.6026722222222
275,-5.38045
276,7.11957105263158
277,15.48915
278,8.38101842105263
279,6.79349999999999
280,6.79349999999999
281,6.80779999999999
282,12.3140710526316
283,12.5
284,12.5
285,12.5
286,12.5
287,12.5
288,12.5
289,12.5
290,14.21195
291,17.8632868421053
292,17.9348
293,17.9348
294,17.9348
295,17.9348
296,17.9348
297,17.9348
298,17.9348
299,17.9348
300,17.9348
